-100,100
-99,100
-97,100
-96,100
-95,100
-94,100
-93,100
-92,100
-91,100
-90,100
-89,100
-88,100
-87,100
-86,100
-85,100
-84,100
-83,100
-82,100
-81,100
-80,100
-79,100
-78,100
-77,100
-76,100
-75,100
-74,100
-73,100
-72,100
-71,100
-70,100
-69,100
-68,100
-67,100
-66,99
-65,99
-64,99
-63,98
-62,98
-61,97
-60,96
-59,95
-58,94
-57,92
-56,91
-55,89
-54,87
-53,85
-52,83
-51,80
-50,78
-49,76
-48,73
-47,71
-46,68
-45,66
-44,64
-43,63
-42,61
-41,60
-40,60
-39,59
-38,60
-37,60
-36,61
-35,63
-34,64
-33,66
-32,68
-31,71
-30,73
-29,76
-28,78
-27,80
-26,83
-25,85
-24,87
-23,89
-22,91
-21,92
-20,94
-19,95
-18,96
-17,97
-16,98
-15,98
-14,99
-13,99
-12,99
-11,100
-10,100
-9,100
-8,100
-7,100
-6,100
-5,100
-4,100
-3,100
-2,100
-1,100
0,100
0,100
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,100
17,100
18,100
19,100
20,100
21,100
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,100
31,100
32,100
33,100
34,100
35,100
36,100
37,100
38,100
39,100
40,100
41,100
42,100
43,100
44,100
45,100
46,100
47,100
47,100
48,100
49,100
50,100
51,100
52,100
53,100
54,100
55,100
56,100
57,100
58,100
59,100
60,100
61,100
62,100
63,100
64,100
65,100
66,100
67,100
68,100
69,100
70,100
71,100
72,100
73,100
74,100
75,100
76,100
77,100
78,100
79,100
80,100
81,100
82,100
83,100
84,100
85,100
86,100
87,100
89,100
90,100
91,100
92,100
93,100
94,100
95,100
96,100
97,100
